index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,labels,parkingSpace,highlight,newDevelopmentFinished
10,101304819,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/25/bf/bd/1211963593.jpg,425141,1,,600000.0,chalet,sale,360.0,,0,0,Zona Laguna,Cádiz,Cádiz,Zona Laguna,es,36.5099647,-6.2754674,False,https://www.idealista.com/inmueble/101304819/,1481,"Venta de chalet de 3 plantas con un total de 360m2 construidos en Cádiz, para reformar Consta de: -Planta baja de 120m2 construidos. -Planta primera de 120m2 construidos -Azotea transitable de 120m2 construidos. Tiene garaje con cabida para dos o tres coches. Con patio trasero y delantero. Trastero. También con un pequeño jardín. Tiene todo el perímetro vallado, con una puerta. Su estado es para Reformar. HONORARIOS DE INTERMEDIACIÓN INMOBILIARIA NO INCLUIDOS EN EL PRECIO DE LA COMPRAVENTA (Ref. 425141).",False,renew,False,,1667.0,{'typology': 'chalet'},"{'subtitle': 'Zona Laguna, Cádiz', 'title': 'Chalet'}",False,False,False,False,False,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
11,103877194,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/7c/cf/1202967018.jpg,CSUR-271223,17,-2,200000.0,flat,sale,88.0,True,3,1,Zona Bahía Blanca,Cádiz,Cádiz,Zona Bahía Blanca,es,36.5200608,-6.2832509,False,https://www.idealista.com/inmueble/103877194/,191,"Magnífico piso en perfectas condiciones para entrar a vivir, muy cerca de la estación de tren de San Severiano con muchos comercios, bares y parada de transportes publicos, se encuentra a 200 m de la playa de Santa María a pie y del paseo maritimo de Cádiz para recorrerlo hasta los campos del sur sintiendo el calor del sol y ver el maravilloso paisaje de un oceáno inmenso azul. Situada en una de las urbanizaciones mas prestigiosas de Cádiz.  La vivienda se situa en una segunda planta con orientación Este. Todas sus habitaciones y estancias son exteriores por lo que tendrás maravillosas vistas y luz natural todo el día y para tu comodidad dispone de dos ascensores. Entrando en en el domicilio nos recibe un hall de entrada, con cocina independiente con zona de comedor y puertas correderas que enlazan al salón, tres dormitorios y cuarto de baño. Carpintería exterior PVC/Clima No dudes en visitarlo, te sentiras como en tu casa. Por mandato expreso del propietario, comercializamos este inmueble en EXCLUSIVA, lo que le garantiza el acceso a toda la información, a un servicio de calidad, un trato fácil, sencillo y sin interferencias de terceros. Por este motivo, se ruega no molestar al propietario, a los ocupantes de la propiedad o a los vecinos. Muchas gracias por su comprensión. De acuerdo con lo prevenido en el Decreto 218/2005, de 11 de octubre, se informa al cliente que los Gastos Notariales, Registrales, impuesto de transmisiones (ITP), Honorarios de intermediación, Gastos financieros, y otros gastos inherentes a la compraventa no están incluidos en el precio.",False,good,False,True,2273.0,{'typology': 'flat'},"{'subtitle': 'Zona Bahía Blanca, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
12,102085621,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/ba/ee/1143727726.jpg,55,18,bj,240000.0,flat,sale,100.0,True,3,2,Mentidero - Teatro Falla - Alameda,Cádiz,Cádiz,Mentidero - Teatro Falla - Alameda,es,36.5339089,-6.2961301,False,https://www.idealista.com/inmueble/102085621/,1780,"INMOBILIARIA CASA OFRECE EN VENTA PISO JUNTO A LA PLAZA DE ESPAÑA. La vivienda consta de110 construidos útiles distribuidos en 3 habitaciones, 2 baños, Salón y cocina. segunda mano/buen estado, bajo exterior, sin ascensor. Piso en excelente ubicación por cercanía a paradas de autobús, Colegios, Diputación, Centros de Salud y comercios. ventanal de PVC, ventanas oscilobatientes. Todas las ventanas del inmueble poseen mosquiteras. Patio interior de uso privativo Se vende completamente amueblado.",False,good,False,False,2400.0,{'typology': 'flat'},"{'subtitle': 'Mentidero - Teatro Falla - Alameda, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
13,102826549,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/d6/d2/1193821802.jpg,ASP-0169,16,3,175000.0,flat,sale,56.0,True,1,1,La Paz - Segunda Aguada - Loreto,Cádiz,Cádiz,La Paz - Segunda Aguada - Loreto,es,36.5130014,-6.2783352,False,https://www.idealista.com/inmueble/102826549/,1065,"COQUETO APARTAMENTO SITUADO EN SEGUNDA AGUADA, SE ENCUENTRA RODEADO DE SUPERMERCADOS, PARQUES INFANTILES, PARADAS DE AUTOBÚS, ESTACIÓN DE TREN Y TODOS LOS SERVICIOS NECESARIOS. La vivienda consta de salón, cocina independiente con ventana abierta al salón, habitación principal con dos armarios empotrados individuales y cuarto de baño. Características: 56 m. de superficie, carpintería interior de lacado blanco, carpintería exterior de climalit, acceso pmr, aire acondicionado centralizado, armarios empotrados, ascensor. Extras autobuses, árboles, centros médicos, colegios, hospitales, parques, supermercados, tren, vistas despejadas, zona de paso, zonas infantiles Venta: 175.000 € En cumplimiento del decreto de la junta de Andalucía 218/2005 del 11 de Octubre, se informa al cliente que los gastos notariales, registrales, impuestos, honorarios de la agencia y otros gastos inherentes a la compra-venta no están incluidos en el precio. Por mandato expreso del propietario, comercializamos este inmueble en exclusiva, lo que le garantiza el acceso a toda la información, a un servicio de calidad, un trato fácil, sencillo y sin interferencias de terceros. Por este motivo, se ruega no molestar al propietario, a los ocupantes de la propiedad o a los vecinos. Muchas gracias por su comprensión.",True,good,False,True,3125.0,{'typology': 'flat'},"{'subtitle': 'La Paz - Segunda Aguada - Loreto, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",,,
14,102536122,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/b1/3c/1158775147.jpg,,13,1,168500.0,flat,sale,86.0,True,3,1,La Paz - Segunda Aguada - Loreto,Cádiz,Cádiz,La Paz - Segunda Aguada - Loreto,es,36.5121718,-6.2721712,False,https://www.idealista.com/inmueble/102536122/,1449,"Piso de 3 dormitorios, el principal dispone de armario empotrado, amplio salón, cocina con terraza lavadero, 1 baño completo con bañera, zona de Barriada de la Paz, todo las ventanas al exterior la finca tiene ascensor, está rodeado de comercios, transportes y colegios.  El precio de venta no incluye los gastos de intermediación inmobiliaria ni los gastos de compra tales como Notaría, Registro y el impuesto de transmisiones. Como consumidor tiene derecho a que se le informe y entregue la documentación informativa que corresponda, según el caso, en base a lo dispuesto en el Decreto 218/05 de 11 de Octubre que regula el Reglamento de Información al Consumidor en la compra-venta y arrendamiento de vivienda en Andalucía. Características y precios válidos salvo error tipográfico.",False,good,False,True,1959.0,{'typology': 'flat'},"{'subtitle': 'La Paz - Segunda Aguada - Loreto, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
15,103252583,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3a/9f/41/1183382456.jpg,C107,17,10,240000.0,flat,sale,85.0,True,3,2,La Paz - Segunda Aguada - Loreto,Cádiz,Cádiz,La Paz - Segunda Aguada - Loreto,es,36.5204123,-6.2734282,False,https://www.idealista.com/inmueble/103252583/,879,"Se vende piso en Cadiz, zona Barriada de la Paz -Corte Ingles, compuesto de tres dormitorios, salon, cocina y dos baños, conservado para poder entrar a vivir, 10ª planta con ascensor, exterior muy luminoso, rodeado de comercios y supermercados, cercano a paradas de bus y tren, junto al centro comercial del corte ingles. De acuerdo con lo prevenido en el Decreto 218/2005, de 11 de octubre, se informa al cliente que los Gastos Notariales, Registrales, impuesto de transmisiones (ITP), Honorarios de intermediación, Gastos financieros, y otros gastos inherentes a la compraventa no están incluidos en el precio.",False,good,False,True,2824.0,{'typology': 'flat'},"{'subtitle': 'La Paz - Segunda Aguada - Loreto, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
16,103059668,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/91/c1/1176685540.jpg,657,19,2,280000.0,flat,sale,95.0,True,3,2,Centro Histórico - Plaza España,Cádiz,Cádiz,Centro Histórico - Plaza España,es,36.5347307,-6.2922014,False,https://www.idealista.com/inmueble/103059668/,1652,"Cádiz Hogar les ofrece este fantástico inmueble en magnífico estado, en finca señorial reformada, con ascensor en el centro histórico de Cádiz, junto a la Plaza de España. La vivienda se entrega en buen estado y con magníficas calidades.  El piso cuenta con gran salón con cocina americana, totalmente equipada, con balcón a calle muy tranquila. Dispone también de dos dormitorios individuales, cuarto de baño reformado y dormitorio principal con ventanas a patio interior de luces y aseo ensuite.  La vivienda es exterior, destaca por su luz y su ventilación, gracias a una galería muy alta y cuidada en carpintería tradicional y las ventilaciones cruzadas.  La finca es muy tranquila, pero en el corazón comercial e histórico de la ciudad, y se encuentra en magníficas condiciones ya que fue rehabilitada hace pocos años. Cuenta con ascensor.  Puedes ampliar información contactando con nosotros y valorar en persona la opción de hacerte con una gran oportunidad de inversión o de residir en una vivienda renovada y con el sabor del casco antiguo de la ciudad. (Planta Segunda con ascensor)  - En cumplimiento del decreto de la junta de Andalucía 218/2005 del 11 de Octubre, se le informa al cliente que los gastos notariales, registrares, ITP, honorarios de la agencia y otros gastos inherentes a la compraventa no están incluidos en el precio-.",False,good,False,True,2947.0,{'typology': 'flat'},"{'subtitle': 'Centro Histórico - Plaza España, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
17,103653155,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d3/3b/0d/1196120573.jpg,,15,2,278000.0,flat,sale,68.0,True,2,1,Playa Victoria - Paseo Marítimo,Cádiz,Cádiz,Playa Victoria - Paseo Marítimo,es,36.5042514,-6.2736146,False,https://www.idealista.com/inmueble/103653155/,2126,"¡No pierdas la oportunidad de vivir en la zona más exclusiva entre el Estadio y Hotel Playa! Este piso de 2 dormitorios te ofrece la posibilidad de disfrutar de vistas laterales a la Avenida y la playa desde su salón con terraza cerrada. Además, cuenta con un baño con placa de ducha, cocina y aparcamiento para residentes.  A pesar de necesitar una reforma completa, esta propiedad te brinda la oportunidad de personalizarla a tu gusto y crear el hogar de tus sueños. Es una planta media y con ascensor, tendrás acceso peatonal al Paseo Maritimo y todos los servicios que ofrece la zona.  El precio de venta no incluye los gastos de intermediación inmobiliaria ni los gastos de compra tales como Notaría, Registro y el impuesto de transmisiones. Como consumidor tiene derecho a que se le informe y entregue la documentación informativa que corresponda, según el caso, en base a lo dispuesto en el Decreto 218/05 de 11 de Octubre que regula el Reglamento de Información al Consumidor en la compra-venta y arrendamiento de vivienda en Andalucía. Características y precios válidos salvo error tipográfico.",False,renew,False,True,4088.0,{'typology': 'flat'},"{'subtitle': 'Playa Victoria - Paseo Marítimo, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,"[{'name': 'seaViewsType', 'text': 'Vistas al mar'}]",,,
18,103233889,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/45/fb/1182764060.jpg,ASP-0184,17,10,240000.0,flat,sale,93.0,True,3,2,La Paz - Segunda Aguada - Loreto,Cádiz,Cádiz,La Paz - Segunda Aguada - Loreto,es,36.5179297,-6.2755168,False,https://www.idealista.com/inmueble/103233889/,803,"ASPU SERVICIOS INMOBILIARIOS ofrece está vivienda en la zona de El Corte Inglés y junto a la salida de Cádiz por el Puente La Pepa. La vivienda se encuentra rodeada de supermercados, paradas de autobús y estación de tren, además de encontrarse a pocos minutos de la Bahía donde poder realizar unos agradables paseos con unas grandes vistas.  Consta de salón con terraza cerrada, cocina independiente, tres habitaciones, cuarto de baño y aseo (anteriormente con placa ducha) Extras: 93 m. de superficie, orientación norte sur, acceso pmr, ascensor, terraza, autobuses, centros médicos, colegios, parques, supermercados, tren, vistas despejadas Venta: 240.000 € Si desea visitar la vivienda solo tiene que ponerse en contacto con nosotros. En cumplimiento del decreto de la junta de Andalucía 218/2005 del 11 de Octubre, se informa al cliente que los gastos notariales, registrales, impuestos, honorarios de la agencia y otros gastos inherentes a la compra-venta no están incluidos en el precio.",False,good,False,True,2581.0,{'typology': 'flat'},"{'subtitle': 'La Paz - Segunda Aguada - Loreto, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
19,99095945,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/36/a8/1078849611.jpg,085,10,3,131000.0,flat,sale,55.0,False,2,1,Centro Histórico - Plaza España,Cádiz,Cádiz,Centro Histórico - Plaza España,es,36.5291665,-6.2957237,False,https://www.idealista.com/inmueble/99095945/,1393,"Se vende piso en Cadiz, zona Centro - Catedral, compuesto de dos dormitorios, salon, cocina y baño, interior muy luminoso, conservado para entrar a vivir, 3ª planta sin ascensor, justo en el centro de la ciudad, rodeado de comercios y supermercados.   De acuerdo con lo prevenido en el Decreto 218/2005, de 11 de octubre, se informa al cliente que los Gastos Notariales, Registrales, impuesto de transmisiones (ITP), Honorarios de intermediación, Gastos financieros, y otros gastos inherentes a la compraventa no están incluidos en el precio.",False,good,False,False,2382.0,{'typology': 'flat'},"{'subtitle': 'Centro Histórico - Plaza España, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
